LeftRight,Area,Test_Year,Test_Quarter,Brand,Size,Make,Number_of_Owners,Age_as_of_Test,Liveline_Usage,PreArrange_Usage,Number_of_Usage,Leakage_mA,Test_Result
Right,North,2024,Q3,3M,9,EPDM,3,2.75,656.0,171.0,827.0,1.785,Pass
Left,North,2023,Q2,Honeywell,9,Composite,4,1.5,231.0,717.0,948.0,2.225,Pass
Right,South,2023,Q4,Honeywell,9,EPDM,3,1.0,1189.0,650.0,1839.0,2.922,Pass
Right,South,2025,Q2,CATU,10,EPDM,3,1.75,663.0,727.0,1390.0,2.213,Pass
Left,South,2023,Q4,Novax,10,Latex Rubber,3,0.25,437.0,52.0,489.0,1.461,Pass
Left,South,2024,Q2,Novax,8,Composite,3,3.0,1191.0,642.0,1833.0,2.766,Pass
Right,South,2023,Q3,Honeywell,10,Composite,4,0.0,986.0,243.0,1229.0,0.659,Pass
Left,North,2023,Q3,Honeywell,8,EPDM,4,2.5,1015.0,11.0,1026.0,2.667,Pass
Right,South,2023,Q1,Honeywell,8,EPDM,3,0.75,380.0,468.0,848.0,1.488,Pass
Left,Central,2025,Q1,Novax,9,Composite,3,1.0,859.0,457.0,1316.0,1.676,Pass
Right,Central,2025,Q4,Honeywell,10,Composite,4,2.5,865.0,788.0,1653.0,3.567,Fail
Right,Central,2025,Q3,Honeywell,10,EPDM,3,4.0,238.0,375.0,613.0,3.317,Fail
Right,North,2024,Q2,Novax,8,Latex Rubber,3,3.0,289.0,553.0,842.0,3.137,Fail
Right,North,2023,Q2,CATU,8,Latex Rubber,3,1.0,1080.0,491.0,1571.0,2.202,Pass
Right,South,2024,Q2,Novax,7,EPDM,2,0.75,984.0,215.0,1199.0,2.093,Pass
Right,North,2024,Q1,3M,7,EPDM,3,3.5,767.0,169.0,936.0,2.845,Pass
Left,South,2025,Q2,CATU,8,Composite,2,1.75,1057.0,129.0,1186.0,3.357,Fail
Left,North,2023,Q1,CATU,7,EPDM,3,0.5,330.0,341.0,671.0,0.773,Pass
Left,Central,2024,Q1,Novax,7,EPDM,4,3.5,283.0,196.0,479.0,3.709,Fail
Right,North,2023,Q4,Novax,8,EPDM,2,3.25,565.0,734.0,1299.0,3.274,Fail
Right,Central,2023,Q2,Honeywell,8,EPDM,2,4.0,853.0,218.0,1071.0,2.776,Pass
Right,South,2024,Q2,Honeywell,10,Composite,3,3.75,677.0,578.0,1255.0,4.176,Fail
Right,North,2024,Q3,Honeywell,8,Composite,3,3.5,1009.0,332.0,1341.0,3.495,Fail
Left,South,2024,Q4,Novax,8,Composite,2,0.25,389.0,385.0,774.0,1.56,Pass
Left,Central,2024,Q3,Honeywell,9,Composite,4,0.5,720.0,677.0,1397.0,2.444,Pass
Right,South,2024,Q4,CATU,10,Composite,4,2.25,755.0,582.0,1337.0,2.91,Pass
Left,South,2025,Q2,3M,10,Latex Rubber,3,2.25,684.0,802.0,1486.0,2.579,Pass
Left,South,2025,Q1,Honeywell,10,EPDM,4,1.75,125.0,243.0,368.0,2.082,Pass
Right,North,2025,Q1,Honeywell,9,EPDM,4,1.5,614.0,536.0,1150.0,2.16,Pass
Left,North,2025,Q1,CATU,8,Latex Rubber,3,1.75,1075.0,704.0,1779.0,3.207,Fail
Right,North,2023,Q1,3M,10,Latex Rubber,4,2.25,388.0,86.0,474.0,0.887,Pass
Left,South,2024,Q1,Novax,10,EPDM,3,0.0,475.0,367.0,842.0,1.281,Pass
Right,North,2024,Q3,3M,7,Latex Rubber,2,1.0,289.0,509.0,798.0,1.249,Pass
Right,Central,2023,Q4,Honeywell,10,Composite,3,2.0,627.0,206.0,833.0,2.976,Pass
Right,South,2025,Q2,Novax,8,Composite,2,3.0,127.0,508.0,635.0,2.833,Pass
Right,Central,2023,Q3,CATU,8,EPDM,2,0.75,318.0,648.0,966.0,1.702,Pass
Left,South,2025,Q4,3M,7,EPDM,4,2.25,109.0,41.0,150.0,1.916,Pass
Right,North,2024,Q1,Honeywell,10,EPDM,4,2.75,270.0,648.0,918.0,2.139,Pass
Right,North,2024,Q4,Novax,10,Composite,4,1.75,1002.0,593.0,1595.0,3.51,Fail
Right,South,2024,Q4,Honeywell,10,Composite,3,0.0,295.0,605.0,900.0,2.106,Pass
Left,Central,2025,Q1,Novax,9,EPDM,4,1.75,337.0,406.0,743.0,2.128,Pass
Right,South,2024,Q1,3M,10,Composite,2,1.25,1136.0,769.0,1905.0,3.497,Fail
Left,Central,2024,Q1,Honeywell,8,EPDM,4,3.75,72.0,860.0,932.0,2.917,Pass
Right,North,2023,Q2,Honeywell,8,EPDM,4,0.5,696.0,710.0,1406.0,1.442,Pass
Left,South,2024,Q1,Novax,9,EPDM,3,2.5,747.0,180.0,927.0,2.53,Pass
Left,South,2023,Q2,3M,9,Latex Rubber,3,0.25,1040.0,549.0,1589.0,2.085,Pass
Right,South,2024,Q1,Novax,10,Latex Rubber,2,1.75,648.0,574.0,1222.0,2.165,Pass
Left,North,2024,Q2,Honeywell,7,EPDM,3,2.25,945.0,471.0,1416.0,3.081,Fail
Right,South,2024,Q4,CATU,9,EPDM,4,1.25,1125.0,205.0,1330.0,2.338,Pass
Right,Central,2023,Q3,3M,9,EPDM,3,1.75,485.0,544.0,1029.0,1.689,Pass
Right,North,2023,Q4,Novax,10,Composite,2,0.75,62.0,551.0,613.0,1.524,Pass
Left,South,2024,Q4,3M,10,Composite,4,1.25,763.0,641.0,1404.0,2.683,Pass
Left,North,2023,Q1,CATU,9,Composite,2,2.5,495.0,398.0,893.0,2.564,Pass
Right,South,2023,Q2,CATU,7,EPDM,3,1.25,1145.0,837.0,1982.0,3.348,Fail
Right,Central,2023,Q3,Novax,9,EPDM,3,3.5,418.0,46.0,464.0,2.034,Pass
Left,North,2025,Q1,Honeywell,10,Latex Rubber,2,2.5,1040.0,601.0,1641.0,3.386,Fail
Right,Central,2024,Q1,Honeywell,10,Composite,4,1.75,677.0,397.0,1074.0,1.644,Pass
Right,South,2024,Q1,CATU,9,Composite,3,0.25,844.0,704.0,1548.0,1.274,Pass
Right,South,2023,Q4,Honeywell,7,Latex Rubber,3,2.0,885.0,627.0,1512.0,2.445,Pass
Left,South,2023,Q2,Honeywell,9,Composite,4,3.0,376.0,787.0,1163.0,2.526,Pass
Left,South,2025,Q2,Novax,9,EPDM,3,1.0,1011.0,445.0,1456.0,1.886,Pass
Left,South,2024,Q3,Novax,10,EPDM,2,3.25,259.0,841.0,1100.0,2.97,Pass
Right,South,2023,Q2,3M,7,EPDM,3,1.0,389.0,621.0,1010.0,2.178,Pass
Right,North,2023,Q2,Honeywell,8,Composite,3,3.25,881.0,510.0,1391.0,3.179,Fail
Right,Central,2023,Q1,3M,7,Composite,4,0.25,844.0,324.0,1168.0,0.696,Pass
Left,North,2024,Q1,Honeywell,9,Composite,2,3.5,784.0,557.0,1341.0,4.002,Fail
Right,South,2025,Q4,CATU,9,EPDM,4,2.0,928.0,219.0,1147.0,2.014,Pass
Right,South,2023,Q1,CATU,9,EPDM,3,1.25,464.0,75.0,539.0,1.443,Pass
Right,North,2023,Q1,CATU,7,Composite,3,1.0,375.0,572.0,947.0,1.926,Pass
Right,South,2023,Q1,Honeywell,10,EPDM,4,1.75,412.0,240.0,652.0,1.949,Pass
Left,South,2025,Q1,CATU,9,Latex Rubber,4,4.0,67.0,285.0,352.0,3.364,Fail
Left,North,2023,Q4,Honeywell,9,Composite,4,1.0,530.0,621.0,1151.0,2.125,Pass
Right,South,2025,Q1,CATU,7,EPDM,2,0.5,1148.0,891.0,2039.0,1.979,Pass
Left,South,2024,Q3,3M,8,EPDM,3,2.25,219.0,166.0,385.0,2.973,Pass
Left,North,2024,Q3,Honeywell,8,Composite,4,2.0,1074.0,195.0,1269.0,2.639,Pass
Right,South,2023,Q3,CATU,10,Composite,3,2.0,825.0,13.0,838.0,2.081,Pass
Right,North,2023,Q3,CATU,10,EPDM,2,2.75,182.0,64.0,246.0,2.516,Pass
Left,South,2024,Q1,Honeywell,9,Latex Rubber,2,1.0,243.0,897.0,1140.0,2.001,Pass
Right,South,2025,Q3,CATU,7,Latex Rubber,2,3.75,802.0,821.0,1623.0,4.023,Fail
Left,South,2024,Q1,3M,9,EPDM,2,1.75,802.0,229.0,1031.0,3.436,Fail
Right,Central,2024,Q4,CATU,10,EPDM,3,0.5,1072.0,823.0,1895.0,2.143,Pass
Left,South,2023,Q3,Novax,7,EPDM,2,3.0,128.0,704.0,832.0,2.54,Pass
Right,South,2025,Q2,Honeywell,7,EPDM,2,2.5,344.0,586.0,930.0,2.57,Pass
Left,Central,2025,Q3,Honeywell,10,EPDM,4,1.25,1107.0,809.0,1916.0,3.248,Fail
Left,South,2023,Q3,Honeywell,8,Composite,2,2.5,333.0,291.0,624.0,1.483,Pass
Left,North,2025,Q1,3M,8,EPDM,4,1.0,1020.0,173.0,1193.0,0.941,Pass
Right,South,2024,Q3,CATU,7,EPDM,2,1.75,1180.0,66.0,1246.0,2.09,Pass
Left,North,2024,Q2,Honeywell,9,EPDM,2,3.5,293.0,353.0,646.0,1.989,Pass
Left,North,2024,Q1,3M,8,Latex Rubber,4,0.5,222.0,446.0,668.0,0.964,Pass
Right,North,2025,Q1,CATU,9,Composite,2,1.5,938.0,18.0,956.0,2.237,Pass
Right,South,2024,Q4,CATU,8,Composite,3,3.25,761.0,168.0,929.0,2.478,Pass
Left,Central,2023,Q4,CATU,8,Composite,3,4.0,348.0,424.0,772.0,2.481,Pass
Left,South,2023,Q3,Novax,9,Latex Rubber,2,1.75,1055.0,761.0,1816.0,2.932,Pass
Right,North,2025,Q4,3M,10,EPDM,3,2.0,114.0,851.0,965.0,2.7,Pass
Right,Central,2023,Q4,Honeywell,8,Composite,4,2.25,779.0,524.0,1303.0,1.863,Pass
Right,Central,2024,Q4,3M,8,EPDM,2,3.75,725.0,670.0,1395.0,4.028,Fail
Right,South,2024,Q1,Novax,9,EPDM,2,3.5,772.0,552.0,1324.0,3.825,Fail
Right,Central,2024,Q1,3M,10,Latex Rubber,4,0.75,388.0,564.0,952.0,2.046,Pass
Left,South,2024,Q1,CATU,8,EPDM,4,1.75,722.0,601.0,1323.0,3.062,Fail
Right,South,2025,Q4,Honeywell,8,EPDM,4,1.75,234.0,32.0,266.0,2.603,Pass
Left,South,2023,Q1,Honeywell,10,Latex Rubber,2,3.25,747.0,712.0,1459.0,3.223,Fail
Left,North,2023,Q4,CATU,8,Composite,4,2.5,245.0,450.0,695.0,2.355,Pass
Left,North,2023,Q1,CATU,10,Composite,4,2.5,192.0,212.0,404.0,1.83,Pass
Right,South,2025,Q1,CATU,10,EPDM,3,4.0,721.0,474.0,1195.0,3.576,Fail
Left,North,2024,Q2,CATU,9,Latex Rubber,3,0.25,453.0,720.0,1173.0,2.26,Pass
Left,South,2023,Q3,3M,7,EPDM,2,1.0,632.0,823.0,1455.0,1.487,Pass
Right,Central,2025,Q4,Honeywell,10,Composite,3,1.75,1039.0,108.0,1147.0,1.864,Pass
Left,South,2025,Q2,CATU,9,Composite,3,1.5,1160.0,746.0,1906.0,3.529,Fail
Left,South,2025,Q1,CATU,7,EPDM,4,0.0,1137.0,430.0,1567.0,2.22,Pass
Right,South,2025,Q4,Honeywell,8,Composite,4,0.25,758.0,105.0,863.0,1.033,Pass
Left,Central,2023,Q1,Novax,7,EPDM,3,2.75,164.0,545.0,709.0,2.878,Pass
Left,South,2025,Q3,Honeywell,10,Latex Rubber,3,3.5,266.0,643.0,909.0,3.214,Fail
Left,Central,2024,Q2,3M,10,EPDM,3,2.0,244.0,854.0,1098.0,3.138,Fail
Right,Central,2025,Q3,3M,10,EPDM,2,2.25,509.0,526.0,1035.0,2.506,Pass
Right,South,2024,Q2,Novax,10,EPDM,2,1.0,298.0,110.0,408.0,1.73,Pass
Right,South,2025,Q1,CATU,10,Composite,2,3.0,519.0,683.0,1202.0,4.353,Fail
Left,South,2024,Q3,3M,9,Latex Rubber,3,3.0,718.0,773.0,1491.0,3.591,Fail
Left,South,2023,Q3,Honeywell,10,EPDM,3,2.25,794.0,811.0,1605.0,3.007,Fail
Right,Central,2024,Q1,Honeywell,9,EPDM,2,0.75,903.0,281.0,1184.0,2.139,Pass
Left,Central,2025,Q3,Honeywell,8,EPDM,2,0.5,785.0,69.0,854.0,1.161,Pass
Left,South,2025,Q4,CATU,10,EPDM,3,0.25,307.0,787.0,1094.0,2.616,Pass
Right,North,2023,Q2,3M,10,EPDM,4,2.25,146.0,192.0,338.0,1.932,Pass
Right,North,2023,Q2,Novax,7,Composite,2,3.25,385.0,321.0,706.0,2.586,Pass
Left,Central,2023,Q2,CATU,8,Latex Rubber,3,3.5,96.0,142.0,238.0,2.021,Pass
Left,North,2024,Q4,Honeywell,10,Latex Rubber,3,1.75,446.0,347.0,793.0,2.525,Pass
Left,North,2025,Q2,Honeywell,10,EPDM,4,3.25,773.0,109.0,882.0,3.315,Fail
Right,North,2023,Q1,Honeywell,8,Latex Rubber,3,3.75,711.0,550.0,1261.0,3.249,Fail
Right,North,2024,Q3,CATU,9,Composite,3,1.0,951.0,384.0,1335.0,2.34,Pass
Right,North,2025,Q4,CATU,10,EPDM,2,1.5,161.0,114.0,275.0,0.618,Pass
Right,South,2024,Q2,Honeywell,7,EPDM,2,3.75,1041.0,549.0,1590.0,3.886,Fail
Left,Central,2024,Q1,Novax,10,EPDM,4,1.25,816.0,358.0,1174.0,2.27,Pass
Right,Central,2024,Q3,Novax,7,EPDM,4,3.75,244.0,747.0,991.0,4.108,Fail
Right,South,2024,Q3,3M,7,Composite,3,4.0,684.0,321.0,1005.0,3.019,Fail
Right,North,2023,Q4,3M,10,Composite,2,2.75,570.0,270.0,840.0,1.929,Pass
Right,South,2024,Q4,Novax,10,EPDM,4,3.25,47.0,698.0,745.0,2.31,Pass
Right,South,2024,Q4,Honeywell,7,Composite,4,3.0,1169.0,856.0,2025.0,3.104,Fail
Left,North,2025,Q1,Novax,8,EPDM,4,2.75,831.0,69.0,900.0,3.291,Fail
Left,Central,2024,Q1,3M,8,Composite,3,1.25,430.0,337.0,767.0,2.452,Pass
Right,South,2025,Q4,Honeywell,10,Composite,2,0.25,357.0,517.0,874.0,1.384,Pass
Left,South,2023,Q2,Honeywell,9,EPDM,4,1.25,1112.0,137.0,1249.0,2.722,Pass
Right,Central,2024,Q3,Honeywell,8,EPDM,2,2.75,757.0,596.0,1353.0,3.097,Fail
Right,South,2023,Q3,CATU,10,Latex Rubber,4,0.5,282.0,787.0,1069.0,1.49,Pass
Left,North,2023,Q1,3M,8,EPDM,4,0.0,1194.0,757.0,1951.0,1.889,Pass
Left,South,2024,Q3,Honeywell,9,Composite,2,0.5,317.0,544.0,861.0,1.195,Pass
Right,North,2025,Q2,CATU,10,Latex Rubber,2,2.75,985.0,739.0,1724.0,2.59,Pass
Right,South,2023,Q3,Honeywell,9,EPDM,2,4.0,742.0,539.0,1281.0,3.785,Fail
Right,South,2024,Q1,Novax,10,Composite,3,4.0,1042.0,500.0,1542.0,3.868,Fail
Left,South,2025,Q1,CATU,9,EPDM,4,2.0,453.0,625.0,1078.0,2.743,Pass
Right,Central,2023,Q2,Novax,8,Latex Rubber,3,3.5,1146.0,623.0,1769.0,3.864,Fail
Right,North,2024,Q2,3M,8,EPDM,2,3.0,414.0,661.0,1075.0,2.836,Pass
Right,North,2024,Q3,Honeywell,9,Composite,4,2.0,862.0,373.0,1235.0,2.076,Pass
Left,North,2024,Q3,Novax,9,Composite,3,2.25,787.0,870.0,1657.0,3.065,Fail
Right,North,2023,Q1,3M,9,Composite,4,0.5,124.0,655.0,779.0,1.645,Pass
Right,South,2024,Q2,3M,10,EPDM,3,3.75,1154.0,800.0,1954.0,3.549,Fail
Left,Central,2025,Q2,CATU,8,EPDM,2,1.5,74.0,814.0,888.0,1.968,Pass
Right,North,2024,Q2,3M,10,Composite,3,1.75,834.0,103.0,937.0,2.222,Pass
Right,South,2023,Q3,Honeywell,8,Latex Rubber,4,2.75,248.0,321.0,569.0,1.966,Pass
Left,South,2025,Q2,Novax,7,Latex Rubber,4,1.25,311.0,127.0,438.0,1.088,Pass
Right,South,2023,Q1,CATU,10,EPDM,4,1.0,978.0,324.0,1302.0,2.137,Pass
Left,South,2024,Q1,CATU,8,Latex Rubber,4,2.5,378.0,803.0,1181.0,2.171,Pass
Left,North,2023,Q3,CATU,8,Composite,2,0.0,242.0,597.0,839.0,1.23,Pass
Right,Central,2025,Q4,Honeywell,10,EPDM,3,3.0,204.0,499.0,703.0,2.135,Pass
Right,South,2024,Q3,3M,10,EPDM,2,2.0,916.0,461.0,1377.0,3.171,Fail
Right,South,2023,Q4,Honeywell,8,Latex Rubber,2,2.5,1045.0,526.0,1571.0,4.258,Fail
Right,North,2023,Q2,Honeywell,10,Latex Rubber,2,2.5,930.0,524.0,1454.0,2.553,Pass
Left,South,2023,Q3,Honeywell,9,Composite,4,2.0,698.0,721.0,1419.0,2.944,Pass
Right,North,2025,Q1,3M,10,Latex Rubber,4,2.25,186.0,319.0,505.0,1.629,Pass
Left,North,2025,Q2,Honeywell,10,Composite,4,2.75,226.0,713.0,939.0,3.178,Fail
Right,Central,2024,Q1,3M,10,Latex Rubber,3,3.0,1044.0,714.0,1758.0,2.9,Pass
Right,South,2024,Q2,3M,8,Latex Rubber,4,3.0,639.0,546.0,1185.0,3.257,Fail
Right,South,2024,Q3,Novax,9,Composite,3,3.5,173.0,483.0,656.0,2.379,Pass
Left,North,2025,Q4,Honeywell,7,EPDM,4,0.75,62.0,24.0,86.0,0.686,Pass
Right,South,2024,Q2,3M,7,Composite,4,1.5,227.0,564.0,791.0,1.321,Pass
Right,North,2024,Q4,3M,9,EPDM,2,3.75,1008.0,134.0,1142.0,3.801,Fail
Right,North,2024,Q2,3M,9,EPDM,2,1.5,833.0,297.0,1130.0,1.724,Pass
Right,South,2024,Q1,CATU,9,EPDM,2,0.5,394.0,136.0,530.0,1.328,Pass
Left,South,2023,Q1,3M,8,Latex Rubber,3,2.0,65.0,360.0,425.0,1.61,Pass
Right,South,2024,Q2,3M,7,EPDM,3,0.5,127.0,58.0,185.0,0.684,Pass
Left,South,2024,Q4,Honeywell,9,EPDM,4,0.75,909.0,894.0,1803.0,2.409,Pass
Left,South,2025,Q3,Honeywell,8,Latex Rubber,3,4.0,807.0,797.0,1604.0,3.563,Fail
Left,South,2023,Q3,Honeywell,7,Latex Rubber,4,2.25,789.0,391.0,1180.0,2.705,Pass
Left,North,2024,Q1,Honeywell,10,Composite,3,1.25,1025.0,269.0,1294.0,2.917,Pass
Left,Central,2024,Q3,3M,8,Latex Rubber,3,4.0,812.0,219.0,1031.0,3.039,Fail
Left,Central,2024,Q1,Novax,7,Composite,3,3.75,854.0,464.0,1318.0,4.135,Fail
Right,North,2023,Q3,Novax,8,Latex Rubber,2,1.75,864.0,462.0,1326.0,3.205,Fail
Left,South,2024,Q2,Novax,7,Composite,3,1.0,717.0,806.0,1523.0,1.813,Pass
Left,Central,2024,Q1,Novax,7,Composite,2,3.25,1113.0,47.0,1160.0,2.404,Pass
Left,North,2024,Q1,Novax,10,EPDM,2,2.75,31.0,590.0,621.0,2.522,Pass
Right,North,2024,Q2,Honeywell,8,EPDM,3,2.75,852.0,866.0,1718.0,3.085,Fail
Right,South,2024,Q1,3M,9,EPDM,4,3.5,1126.0,282.0,1408.0,4.427,Fail
Left,North,2025,Q3,Honeywell,10,Composite,4,2.75,201.0,842.0,1043.0,2.769,Pass
Right,South,2023,Q3,Honeywell,10,EPDM,4,1.25,1028.0,758.0,1786.0,2.194,Pass
Left,Central,2025,Q1,Honeywell,7,Latex Rubber,3,2.75,1136.0,134.0,1270.0,2.382,Pass
Left,Central,2024,Q3,Honeywell,9,EPDM,4,1.25,405.0,354.0,759.0,2.216,Pass
Right,South,2023,Q4,3M,8,Composite,2,3.0,1040.0,710.0,1750.0,3.239,Fail
Left,South,2023,Q1,CATU,9,EPDM,4,2.5,649.0,548.0,1197.0,2.774,Pass
Right,Central,2023,Q2,Novax,9,Composite,3,0.25,1028.0,110.0,1138.0,1.94,Pass
Right,South,2025,Q4,Honeywell,9,Latex Rubber,4,2.0,576.0,720.0,1296.0,2.324,Pass
Left,South,2024,Q1,Honeywell,9,Latex Rubber,2,1.25,240.0,5.0,245.0,1.185,Pass
Left,North,2025,Q2,CATU,9,EPDM,3,1.25,883.0,761.0,1644.0,2.459,Pass
Right,South,2024,Q3,CATU,7,EPDM,4,2.5,583.0,588.0,1171.0,3.071,Fail
Left,South,2024,Q2,Novax,7,Latex Rubber,3,1.25,249.0,436.0,685.0,1.899,Pass
Left,South,2023,Q4,Honeywell,10,EPDM,3,3.0,99.0,310.0,409.0,2.208,Pass
Left,South,2023,Q3,Honeywell,7,Latex Rubber,3,0.25,241.0,531.0,772.0,1.164,Pass
Right,South,2024,Q1,Honeywell,10,EPDM,4,2.75,466.0,57.0,523.0,2.097,Pass
Right,South,2023,Q3,Honeywell,10,Latex Rubber,3,3.25,242.0,524.0,766.0,2.038,Pass
Left,South,2023,Q1,3M,8,EPDM,4,2.75,363.0,334.0,697.0,2.569,Pass
Right,South,2024,Q1,Honeywell,9,EPDM,2,2.0,1014.0,562.0,1576.0,3.764,Fail
Right,South,2024,Q2,CATU,7,Latex Rubber,4,3.75,448.0,329.0,777.0,2.62,Pass
Right,South,2025,Q2,CATU,8,EPDM,2,1.25,354.0,118.0,472.0,1.026,Pass
Right,South,2025,Q2,Honeywell,7,EPDM,4,0.0,673.0,151.0,824.0,0.606,Pass
Right,North,2024,Q4,Novax,10,Composite,3,1.75,666.0,170.0,836.0,2.377,Pass
Left,South,2024,Q4,3M,7,EPDM,4,0.25,139.0,383.0,522.0,1.132,Pass
Left,South,2024,Q2,Novax,9,EPDM,3,3.75,150.0,143.0,293.0,2.547,Pass
Left,North,2025,Q4,CATU,10,Composite,2,0.75,424.0,633.0,1057.0,1.205,Pass
Right,South,2023,Q3,CATU,10,Composite,4,3.25,1126.0,303.0,1429.0,3.42,Fail
Right,North,2024,Q3,3M,8,EPDM,3,3.0,635.0,280.0,915.0,1.991,Pass
Left,Central,2025,Q4,CATU,9,Latex Rubber,2,0.75,293.0,793.0,1086.0,1.762,Pass
Right,South,2024,Q4,Honeywell,10,EPDM,2,2.5,232.0,854.0,1086.0,3.088,Fail
Left,North,2024,Q3,3M,9,Composite,4,0.25,753.0,829.0,1582.0,1.236,Pass
Left,South,2024,Q1,Honeywell,7,EPDM,2,2.0,472.0,182.0,654.0,1.222,Pass
Left,South,2023,Q3,Novax,9,Composite,3,0.0,1173.0,846.0,2019.0,2.907,Pass
Right,Central,2024,Q3,3M,10,EPDM,2,3.75,366.0,358.0,724.0,2.708,Pass
Right,North,2023,Q4,Honeywell,8,Composite,2,4.0,1056.0,158.0,1214.0,4.161,Fail
Left,North,2023,Q3,CATU,10,Composite,3,1.0,868.0,205.0,1073.0,1.739,Pass
Left,South,2023,Q4,Honeywell,9,Composite,2,0.75,674.0,882.0,1556.0,2.032,Pass
Left,South,2025,Q4,CATU,9,EPDM,2,3.0,1024.0,119.0,1143.0,3.198,Fail
Left,South,2023,Q2,3M,10,Composite,2,1.0,94.0,675.0,769.0,1.1,Pass
Right,North,2024,Q3,3M,9,EPDM,2,3.5,630.0,558.0,1188.0,3.36,Fail
Right,South,2023,Q1,3M,7,EPDM,3,2.25,1064.0,763.0,1827.0,2.991,Pass
Left,Central,2025,Q2,3M,10,EPDM,2,1.5,249.0,72.0,321.0,0.754,Pass
Left,South,2023,Q4,Honeywell,8,EPDM,3,3.25,372.0,449.0,821.0,2.995,Pass
Right,North,2024,Q4,Novax,10,Latex Rubber,2,2.0,831.0,449.0,1280.0,2.42,Pass
Right,South,2025,Q1,Novax,7,Composite,2,3.75,677.0,330.0,1007.0,3.19,Fail
Left,Central,2025,Q4,Honeywell,7,EPDM,2,3.75,108.0,850.0,958.0,2.62,Pass
Left,South,2023,Q3,3M,7,Composite,2,0.75,56.0,712.0,768.0,2.199,Pass
Left,Central,2025,Q2,CATU,7,Composite,3,0.0,848.0,606.0,1454.0,2.047,Pass
Right,South,2024,Q4,CATU,7,EPDM,3,4.0,431.0,627.0,1058.0,3.934,Fail
Right,South,2024,Q4,3M,8,EPDM,3,3.5,71.0,884.0,955.0,2.932,Pass
Right,North,2023,Q1,Honeywell,9,Latex Rubber,4,0.25,1142.0,363.0,1505.0,0.927,Pass
Left,South,2023,Q3,Honeywell,7,EPDM,2,3.25,1152.0,149.0,1301.0,4.235,Fail
Left,South,2024,Q4,CATU,7,Latex Rubber,2,1.75,1019.0,279.0,1298.0,2.4,Pass
Right,North,2024,Q1,CATU,10,Composite,3,1.0,607.0,513.0,1120.0,1.484,Pass
Right,Central,2024,Q4,Novax,8,Composite,4,3.5,401.0,183.0,584.0,2.959,Pass
Left,South,2024,Q1,Honeywell,8,Composite,2,0.75,986.0,757.0,1743.0,2.865,Pass
Right,North,2025,Q1,CATU,9,Composite,3,3.75,1085.0,842.0,1927.0,4.085,Fail
Right,South,2023,Q3,Novax,8,EPDM,2,0.75,612.0,835.0,1447.0,2.654,Pass
Left,Central,2024,Q4,Novax,10,EPDM,2,2.5,346.0,481.0,827.0,2.961,Pass
Right,South,2023,Q3,CATU,10,Composite,3,1.0,819.0,847.0,1666.0,1.811,Pass
Left,North,2025,Q1,CATU,9,Latex Rubber,3,2.25,761.0,418.0,1179.0,2.262,Pass
Left,South,2024,Q2,Honeywell,10,Latex Rubber,2,2.75,1169.0,157.0,1326.0,3.485,Fail
Left,South,2025,Q4,Novax,7,Composite,2,0.75,890.0,108.0,998.0,0.254,Pass
Left,South,2023,Q2,Novax,7,Composite,3,2.0,644.0,79.0,723.0,1.976,Pass
Left,South,2023,Q4,3M,10,Composite,2,2.0,263.0,132.0,395.0,1.04,Pass
Left,North,2023,Q3,CATU,9,Composite,2,0.25,1147.0,715.0,1862.0,1.875,Pass
